Magnification,1X,
SubCell,X [um] ,Y[um]
Clips,29435,-333.55
Clips,-29435,1037.45
Clips,-29435,-4137.45
Clips,29435,-5508.45
CROSSES_L,-39700,0
CROSSES_R,39700,0
DR4,15450,31900
DR4,15450,22700
DR4,15450,13500
DR4,15450,4300
DR4,-25750,7650
DR4,-5150,41400
DR4,-25750,30150
DR4,-5150,13800
DR4,-5150,4600
DR4,-25750,20950
DR4,-25750,11750
DR4,-5150,23000
DR4,-5150,32200
DR4,-25750,-15850
DR4,-5150,-4600
DR4,-5150,-13800
DR4,-5150,-32200
DR4,-5150,-41400
DR4,-5150,-23000
DR4,-25750,-25050
DR4,15450,-23300
DR4,15450,-14100
DR4,15450,-4900
DR4,15450,-32500
DR8,5150,35500
DR8,25750,28958
DR8,5150,5700
DR8,25750,7758
DR8,-15450,14650
DR8,-15450,35850
DR8,-15450,-21750
DR8,-15450,-6550
DR8,5150,-24700
DR8,5150,-39900
DR8,5150,-9500
EB_GLOBAL_MRK,31500,31500
EB_GLOBAL_MRK,-31500,31500
EB_GLOBAL_MRK,-31500,-31500
EB_GLOBAL_MRK,31500,-31500
FR4,15450,-300
FR4,-5150,0
FR4,15450,27300
FR4,15450,18100
FR4,15450,8900
FR4,15450,36500
FR4,-25750,16350
FR4,-25750,25550
FR4,-5150,36800
FR4,-5150,9200
FR4,-5150,18400
FR4,-5150,27600
FR4,-25750,-11250
FR4,-25750,-20450
FR4,-25750,-29650
FR4,-5150,-36800
FR4,-5150,-27600
FR4,-5150,-18400
FR4,-5150,-9200
FR4,15450,-27900
FR4,15450,-37100
FR4,15450,-18700
FR4,15450,-9500
FR8,5150,-1900
FR8,5150,27900
FR8,5150,13300
FR8,-15450,22250
FR8,-15450,7050
FR8,-15450,-14150
FR8,-15450,-35350
FR8,5150,-32300
FR8,25750,-14100
FR8,25750,-28200
FR8,25750,21358
FRM_SQR,36000,6500
FRM_SQR,-36000,6500
Passive_1,-15450,-500
Passive_1,25750,13808
Passive_1,5150,19850
Passive_1,-15450,28800
Passive_1,-15450,-28800
Passive_1,5150,-16550
Passive_1,25750,-21650
Passive_2,25750,16808
Passive_2,5150,22850
Passive_2,-15450,31800
Passive_2,-15450,2500
Passive_2,-15450,-25800
Passive_2,5150,-13550
Passive_2,25750,-18650
XPA_AH11,38800,9000
XPA_AH11,-40000,9000
XPA_AH11,-40000,-5400
XPA_AH11,38800,-5400
XPA_AH11_INV,40000,9000
XPA_AH11_INV,-38800,9000
XPA_AH11_INV,-38800,-5400
XPA_AH11_INV,40000,-5400
XPA_AH32,38800,7800
XPA_AH32,-40000,7800
XPA_AH32,-40000,-6600
XPA_AH32,38800,-6600
XPA_AH32_INV,40000,7800
XPA_AH32_INV,-38800,7800
XPA_AH32_INV,-38800,-6600
XPA_AH32_INV,40000,-6600
XPA_AH53,38800,6600
XPA_AH53,-40000,6600
XPA_AH53,-40000,-7800
XPA_AH53,38800,-7800
XPA_AH53_INV,40000,6600
XPA_AH53_INV,-38800,6600
XPA_AH53_INV,-38800,-7800
XPA_AH53_INV,40000,-7800
XPA_AH74,38800,5400
XPA_AH74,-40000,5400
XPA_AH74,-40000,-9000
XPA_AH74,38800,-9000
XPA_AH74_INV,40000,5400
XPA_AH74_INV,-38800,5400
XPA_AH74_INV,-38800,-9000
XPA_AH74_INV,40000,-9000
